latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-28.817,116.065,307,4.6,2,2019-04-05,0135,T,53,6.0NRT,295.3,36.7,D
-29.86,116.373,306.8,4.1,1.9,2019-04-05,0135,T,61,6.0NRT,293.9,32.9,D
-29.975,116.559,306.8,4,1.9,2019-04-05,0135,T,43,6.0NRT,292.3,31.7,N
-2.912,129.305,315.4,1.7,1.3,2019-04-05,0130,T,52,6.0NRT,293.3,16.4,D
38.071,140.086,303.4,1.3,1.1,2019-04-05,0120,T,50,6.0NRT,290.6,5.3,D
35.935,140.678,318.2,1.1,1.1,2019-04-05,0120,T,0,6.0NRT,297.5,12.8,D
35.029,136.888,311.4,1.7,1.3,2019-04-05,0120,T,51,6.0NRT,297,11.6,D
27.242,140.881,314.4,1,1,2019-04-05,0120,T,61,6.0NRT,304.4,11.7,D
59.452,144.083,333,1.6,1.2,2019-04-05,0110,T,85,6.0NRT,284.8,66.5,D
59.449,144.111,324.6,1.6,1.2,2019-04-05,0110,T,78,6.0NRT,283.2,46.5,D
49.256,133.237,316.1,3.9,1.8,2019-04-05,0115,T,76,6.0NRT,281.7,124.6,D
49.255,133.291,302.5,3.9,1.8,2019-04-05,0115,T,53,6.0NRT,279.9,53.2,D
49.252,133.229,309.3,3.9,1.8,2019-04-05,0115,T,68,6.0NRT,280.2,86,D
49.25,133.283,303.6,3.9,1.8,2019-04-05,0115,T,53,6.0NRT,279.4,56.8,D
48.856,135.367,311.1,3,1.7,2019-04-05,0115,T,54,6.0NRT,282.5,56.9,D
48.857,135.359,310.4,3,1.7,2019-04-05,0115,T,27,6.0NRT,282.7,49.9,D
48.848,133.859,306,3.6,1.8,2019-04-05,0115,T,54,6.0NRT,285,41.4,D
48.832,133.858,305.5,3.6,1.8,2019-04-05,0115,T,61,6.0NRT,286.6,40.2,D
48.745,133.799,305.9,3.6,1.8,2019-04-05,0115,T,44,6.0NRT,283.8,40.9,D
48.743,133.848,332.2,3.6,1.8,2019-04-05,0115,T,88,6.0NRT,285.9,203.8,D
48.713,133.747,328.3,3.7,1.8,2019-04-05,0115,T,86,6.0NRT,284.1,169.5,D
48.68,133.796,316.5,3.6,1.8,2019-04-05,0115,T,40,6.0NRT,284.4,86.7,D
