latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-33.326,117.408,318.2,1,1,2019-04-06,02:20,T,69,6.0NRT,304.4,7.8,D
-33.704,121.497,317.1,1.6,1.2,2019-04-06,02:20,T,70,6.0NRT,299.1,17.3,D
-33.704,121.503,313.1,1.6,1.2,2019-04-06,02:20,T,49,6.0NRT,298.9,9.1,D
-33.702,121.486,312.5,1.5,1.2,2019-04-06,02:20,T,33,6.0NRT,299.2,7.5,D
-33.267,118.332,316.3,1.1,1,2019-04-06,02:20,T,62,6.0NRT,302.6,6.2,D
-33.057,117.255,315,1,1,2019-04-06,02:20,T,55,6.0NRT,302,5.5,D
-33.003,117.938,316.7,1,1,2019-04-06,02:20,T,61,6.0NRT,304.5,5.3,D
-32.997,117.945,328,1,1,2019-04-06,02:20,T,80,6.0NRT,305.4,16.9,D
-32.901,118.119,319.5,1.1,1,2019-04-06,02:20,T,68,6.0NRT,306,9.3,D
-32.752,118.31,317.4,1.1,1,2019-04-06,02:20,T,65,6.0NRT,304.8,7.8,D
-32.751,118.298,319.9,1.1,1,2019-04-06,02:20,T,70,6.0NRT,303.7,10.6,D
-32.223,117.141,321.3,1,1,2019-04-06,02:20,T,68,6.0NRT,304.1,10.4,D
-32.222,117.592,328.2,1,1,2019-04-06,02:20,T,80,6.0NRT,304.5,19.1,D
-32.033,116.715,322.2,1,1,2019-04-06,02:20,T,74,6.0NRT,301.4,11.8,D
-32.169,118.063,317.7,1,1,2019-04-06,02:20,T,67,6.0NRT,303.1,7.7,D
-31.971,116.669,324.8,1,1,2019-04-06,02:20,T,77,6.0NRT,303.5,14.7,D
-31.969,116.658,355.1,1,1,2019-04-06,02:20,T,97,6.0NRT,307,66.6,D
-32.135,118.024,316.1,1,1,2019-04-06,02:20,T,63,6.0NRT,302,6.6,D
-32.224,119.102,313.1,1.1,1.1,2019-04-06,02:20,T,61,6.0NRT,299,6.6,D
-32.196,119.107,320.4,1.1,1.1,2019-04-06,02:20,T,74,6.0NRT,298.4,13.8,D
-32.186,119.108,322.3,1.1,1.1,2019-04-06,02:20,T,76,6.0NRT,299.3,16.5,D
-31.877,118.431,314.2,1.1,1,2019-04-06,02:20,T,61,6.0NRT,301,5.8,D
-31.875,118.419,316.7,1.1,1,2019-04-06,02:20,T,67,6.0NRT,300.9,8.2,D
-31.607,116.636,328.1,1,1,2019-04-06,02:20,T,80,6.0NRT,305.3,17.7,D
-31.605,116.625,325.5,1,1,2019-04-06,02:20,T,77,6.0NRT,303.9,14.8,D
-31.598,116.637,347,1,1,2019-04-06,02:20,T,93,6.0NRT,307.8,47.5,D
-31.596,116.627,338.7,1,1,2019-04-06,02:20,T,88,6.0NRT,304.1,32.6,D
-31.48,116.776,327.9,1,1,2019-04-06,02:20,T,79,6.0NRT,308.4,16.7,D
-31.478,116.765,333.2,1,1,2019-04-06,02:20,T,84,6.0NRT,306.2,23.8,D
-31.502,117.242,331.9,1,1,2019-04-06,02:20,T,83,6.0NRT,305.8,21.5,D
-31.493,117.244,324.5,1,1,2019-04-06,02:20,T,75,6.0NRT,307.6,12.9,D
-31.366,116.75,319.2,1,1,2019-04-06,02:20,T,62,6.0NRT,306.9,7.8,D
-31.364,116.74,337.4,1,1,2019-04-06,02:20,T,87,6.0NRT,307.6,30.4,D
-31.046,116.216,320.6,1,1,2019-04-06,02:20,T,67,6.0NRT,305.6,8.8,D
-31.044,116.206,332.7,1,1,2019-04-06,02:20,T,83,6.0NRT,307.1,23.2,D
-31.147,117.017,322.3,1,1,2019-04-06,02:20,T,70,6.0NRT,307,9.4,D
-31.146,117.006,330.9,1,1,2019-04-06,02:20,T,81,6.0NRT,307.9,19.5,D
-31.079,116.799,324.1,1,1,2019-04-06,02:20,T,72,6.0NRT,305.6,11.9,D
-30.917,115.733,321.5,1,1,2019-04-06,02:20,T,42,6.0NRT,308.8,7.7,D
-31.071,116.811,327.5,1,1,2019-04-06,02:20,T,77,6.0NRT,307.3,14.7,D
-31.07,116.801,340,1,1,2019-04-06,02:20,T,89,6.0NRT,308.9,32.9,D
-30.907,115.735,325.7,1,1,2019-04-06,02:20,T,75,6.0NRT,307.9,12.8,D
-31.012,117.098,322.4,1,1,2019-04-06,02:20,T,69,6.0NRT,306.5,9.4,D
-31.011,117.088,323.8,1,1,2019-04-06,02:20,T,71,6.0NRT,306.7,10.9,D
-31.006,117.056,319.1,1,1,2019-04-06,02:20,T,61,6.0NRT,307.4,6.1,D
-30.84,116.493,319,1,1,2019-04-06,02:20,T,53,6.0NRT,306.3,5.9,D
-30.842,116.632,329.5,1,1,2019-04-06,02:20,T,79,6.0NRT,303.3,19,D
-30.84,116.622,380,1,1,2019-04-06,02:20,T,100,6.0NRT,312.6,144.8,D
-30.685,115.915,334.8,1,1,2019-04-06,02:20,T,84,6.0NRT,307.3,25.1,D
-30.684,115.905,323.8,1,1,2019-04-06,02:20,T,65,6.0NRT,305.9,11.2,D
-30.679,115.923,323.9,1,1,2019-04-06,02:20,T,56,6.0NRT,306.7,10.8,D
-30.679,116.044,340.4,1,1,2019-04-06,02:20,T,89,6.0NRT,306,35,D
-30.67,116.045,336.6,1,1,2019-04-06,02:20,T,86,6.0NRT,308,28.7,D
-30.653,115.939,333.8,1,1,2019-04-06,02:20,T,83,6.0NRT,307.8,24.4,D
-30.644,115.941,332.5,1,1,2019-04-06,02:20,T,82,6.0NRT,308,22.3,D
-30.566,115.626,319,1,1,2019-04-06,02:20,T,60,6.0NRT,305.2,7,D
-30.565,115.615,328.3,1,1,2019-04-06,02:20,T,78,6.0NRT,307.3,17.5,D
-30.714,116.885,341,1,1,2019-04-06,02:20,T,89,6.0NRT,309.8,33.1,D
-30.713,116.874,341.7,1,1,2019-04-06,02:20,T,89,6.0NRT,309.4,34.6,D
-30.704,116.876,330.6,1,1,2019-04-06,02:20,T,80,6.0NRT,310.7,18.7,D
-30.526,116.859,335.9,1,1,2019-04-06,02:20,T,85,6.0NRT,307.9,26.3,D
-30.463,116.442,322.4,1,1,2019-04-06,02:20,T,68,6.0NRT,306.5,9.7,D
-30.517,116.861,321.6,1,1,2019-04-06,02:20,T,66,6.0NRT,306.5,8.7,D
-30.381,116.626,332,1,1,2019-04-06,02:20,T,82,6.0NRT,309,20.5,D
-30.379,116.616,321.7,1,1,2019-04-06,02:20,T,67,6.0NRT,308.5,8.2,D
-30.372,116.628,319.4,1,1,2019-04-06,02:20,T,61,6.0NRT,308,5.8,D
-30.203,116.609,340.1,1,1,2019-04-06,02:20,T,88,6.0NRT,310.2,31.6,D
-30.202,116.599,352.4,1,1,2019-04-06,02:20,T,96,6.0NRT,311.3,55.8,D
-30.194,116.611,350.2,1,1,2019-04-06,02:20,T,95,6.0NRT,311.5,51.2,D
-30.193,116.601,382.6,1,1,2019-04-06,02:20,T,100,6.0NRT,318.6,153.8,D
-30.191,116.59,326.5,1,1,2019-04-06,02:20,T,75,6.0NRT,311.7,12.9,D
-30.138,116.725,321.2,1,1,2019-04-06,02:20,T,35,6.0NRT,309.4,7,D
-30.129,116.726,320.5,1,1,2019-04-06,02:20,T,41,6.0NRT,308.7,6.3,D
-30.127,116.716,321,1,1,2019-04-06,02:20,T,50,6.0NRT,309.6,7.1,D
-29.887,116.347,331.1,1,1,2019-04-06,02:20,T,81,6.0NRT,309.6,18.7,D
-29.885,116.336,332.6,1,1,2019-04-06,02:20,T,82,6.0NRT,308.3,21.1,D
-29.877,116.348,336.2,1,1,2019-04-06,02:20,T,85,6.0NRT,309.5,26,D
-29.876,116.338,360.8,1,1,2019-04-06,02:20,T,100,6.0NRT,312.8,78.6,D
-29.867,116.34,333.9,1,1,2019-04-06,02:20,T,83,6.0NRT,310.4,23,D
-25.393,128.596,328.5,3.7,1.8,2019-04-06,02:20,T,70,6.0NRT,309.5,88.4,D
-29.732,115.721,343.1,1,1,2019-04-06,02:20,T,80,6.0NRT,310.5,42.1,D
-29.728,115.739,320,1,1,2019-04-06,02:20,T,58,6.0NRT,308.8,8.4,D
-29.726,115.729,330.9,1,1,2019-04-06,02:20,T,80,6.0NRT,310.7,22.2,D
-29.76,116.064,345.5,1,1,2019-04-06,02:20,T,92,6.0NRT,308.6,43.8,D
-29.758,116.053,385.1,1,1,2019-04-06,02:20,T,100,6.0NRT,313.3,171.3,D
-29.749,116.055,354.6,1,1,2019-04-06,02:20,T,97,6.0NRT,309.4,64.4,D
-29.747,116.044,324,1,1,2019-04-06,02:20,T,71,6.0NRT,306.5,12,D
-29.738,116.046,331.2,1,1,2019-04-06,02:20,T,78,6.0NRT,307.8,19,D
